"Country or Area","Year(s)","Variant","Value"
"Viet Nam","2015","Medium variant","93386.63"
"Viet Nam","2010","Medium variant","89047.397"
"Viet Nam","2005","Medium variant","84947.852"
"Viet Nam","2000","Medium variant","80887.879"
"Viet Nam","1995","Medium variant","76020.043"
"Viet Nam","1990","Medium variant","68909.883"
"Viet Nam","1985","Medium variant","61658.342"
"Viet Nam","1980","Medium variant","54897.387"
"Viet Nam","1975","Medium variant","49175.348"
"Viet Nam","1970","Medium variant","43782.542"
"Viet Nam","1965","Medium variant","38166.133"
"Viet Nam","1960","Medium variant","32912.298"
"Viet Nam","1955","Medium variant","28332.246"
"Viet Nam","1950","Medium variant","24949.467"
